plot;variable;value
Morton1950:6/46;latitude;47,67405
Morton1950:6/46;comment;Nr. II (J. Pilz)
Morton1950:6/46;location;Höherstein, Abfall unter der Quote 1377
Morton1950:9/49;cov;10
Morton1950:9/49;tcov1;0
Morton1950:9/49;scov;0
Morton1950:9/49;hcov;10
Morton1950:9/49;mcov;1
Morton1950:9/49;htl1;0
Morton1950:9/49;htl2;0
Morton1950:9/49;hsl;0
Morton1950:9/49;hhl1;0
Morton1950:9/49;hhl2;0
Morton1950:9/49;plsx;20
Morton1950:9/49;plsy;20
Morton1950:9/49;expo;S
Morton1950:9/49;slope;75
Morton1950:9/49;rock;0
Morton1950:9/49;stones;0
Morton1950:9/49;bare;0
Morton1950:9/49;soil;
Morton1950:9/49;date;12.10.1949
Morton1950:9/49;altitude;1310
Morton1950:9/49;precision.vertical;50
Morton1950:9/49;precision.horizontal;200
Morton1950:9/49;longitude;13,53196
Morton1950:9/49;latitude;47,60505
Morton1950:9/49;comment;J. Pilz
Morton1950:9/49;location;Südabfall des Rosenkogel
