plot,abbr,layer,cover,voucher,comment,history
sf11,frax exce,hl,+,,,
sf11,gali albu,hl,+,,,
sf11,gali moll,hl,+,cf.,,
sf11,hede heli,hl,+,,,
sf11,hier bifi,hl,+,,,
sf11,hier muro,hl,+,,,
sf11,lase lati lati,hl,+,,,
sf11,ligu vulg,hl,+,,,
sf11,meli nuta,hl,+,,,
sf11,moli caer aggr,hl,+,M. arundinaca,,
sf11,orig vulg,hl,+,,,
sf11,poly odor,hl,+,,,
sf11,pren purp,hl,+,,,
sf11,rham cath,hl,+,,,
sf11,rosa cani,hl,+,,,
sf11,rosa micr,hl,+,,,
sf11,salv glut,hl,+,,,
sf11,soli virg virg,hl,+,,,
sf11,sorb aria,hl,+,,,
sf11,stap pinn,hl,r,,,
sf11,taxu bacc,hl,r,,,
sf11,teuc cham,hl,+,,,
sf11,tili ✕vul,hl,+,,,
sf11,vinc hiru,hl,1,,,
sf11,viol coll,hl,+,,,
sf11,viol hirt,hl,+,,,
sf11,tort tort,ml,+,,,
sf11,corn sang slat,sl,+,,,
sf11,cory avel,sl,2a,,,
sf11,fagu sylv,sl,+,,,
sf11,ligu vulg,sl,+,,,
sf11,rham cath,sl,+,,,
sf11,rosa cani,sl,+,,,
sf11,rosa micr,sl,+,,,
sf11,sorb aria,sl,+,,,
sf11,fagu sylv,tl1,1,,,
sf11,frax exce,tl1,1,,,
sf11,quer petr,tl1,2a,,,
sf11,tili ✕vul,tl1,2a,,,
sf11,tili plat,tl1,2a,,,
sf11,visc albu,tl1,+,,,
sf11,sorb aria,tl2,1,,,
sf11,tili ✕vul,tl2,2b,,,
sf11,visc albu,tl2,+,,,
